date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:11	296/296	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20May%202023%2011:30:11%20GMT	http://localhost/robots.txt		(from )
12:30:16	293506/293506	U--MC-	200	updated ('OK')	text/html	date:Mon,%2001%20May%202023%2011:30:11%20GMT	http://localhost/interlinklogistics.co.uk/	C:/My%20Web%20Sites/Interlink%20New/localhost/interlinklogistics.co.uk/index.html	(from )
12:30:16	41482/41482	U-----	200	untouched ('OK')	text/css	etag:%22a20a-5fa39276fc196%22	http://localhost/interlinklogistics.co.uk/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.1.3	C:/My%20Web%20Sites/Interlink%20New/localhost/interlinklogistics.co.uk/wp-content/themes/astra/assets/css/minified/main.mina352.css	(from http://localhost/interlinklogistics.co.uk/)
12:30:19	867/867	U-----	200	untouched ('')	application/rss+xml	etag:%222cbe4e373a632a599847230e3eaabd63%22	http://localhost/interlinklogistics.co.uk/comments/feed/	C:/My%20Web%20Sites/Interlink%20New/localhost/interlinklogistics.co.uk/comments/feed/index.html	(from http://localhost/interlinklogistics.co.uk/)
12:30:19	1289/1289	U-----	200	untouched ('')	application/rss+xml	etag:%222cbe4e373a632a599847230e3eaabd63%22	http://localhost/interlinklogistics.co.uk/feed/	C:/My%20Web%20Sites/Interlink%20New/localhost/interlinklogistics.co.uk/feed/index.html	(from http://localhost/interlinklogistics.co.uk/)
12:30:20	24887/24887	---M--	200	added ('OK')	text/css	etag:%226137-5fa9ff389ca74%22	http://localhost/interlinklogistics.co.uk/wp-content/uploads/elementor/css/post-7.css?ver=1682939776	C:/My%20Web%20Sites/Interlink%20New/localhost/interlinklogistics.co.uk/wp-content/uploads/elementor/css/post-7a001.css	(from http://localhost/interlinklogistics.co.uk/)
12:30:20	97517/97517	U-----	200	untouched ('OK')	text/css	date:Fri,%2010%20Mar%202023%2000:22:37%20GMT	https://c0.wp.com/c/6.2/wp-includes/css/dist/block-library/style.min.css	C:/My%20Web%20Sites/Interlink%20New/c0.wp.com/c/6.2/wp-includes/css/dist/block-library/style.min.css	(from http://localhost/interlinklogistics.co.uk/)
12:30:20	1027/1027	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2001%20May%202023%2011:30:15%20GMT	https://interlinklogistics.co.uk/wp-content/uploads/2022/07/transport-slide1-1.jpg	C:/My%20Web%20Sites/Interlink%20New/interlinklogistics.co.uk/wp-content/uploads/2022/07/transport-slide1-1.html	(from http://localhost/interlinklogistics.co.uk/)
12:30:20	11256/11256	U-----	200	untouched ('OK')	text/css	date:Tue,%2029%20Sep%202020%2015:53:06%20GMT	https://c0.wp.com/c/6.2/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	C:/My%20Web%20Sites/Interlink%20New/c0.wp.com/c/6.2/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	(from http://localhost/interlinklogistics.co.uk/)
12:30:22	10150/10150	---M--	200	added ('OK')	image/png	etag:%2227a6-5fa9ff289b55a%22	http://localhost/interlinklogistics.co.uk/wp-content/uploads/2023/05/2022-07-blob-0002.png	C:/My%20Web%20Sites/Interlink%20New/localhost/interlinklogistics.co.uk/wp-content/uploads/2023/05/2022-07-blob-0002.png	(from http://localhost/interlinklogistics.co.uk/)
12:30:26	123829/123829	---M--	200	added ('OK')	image/png	etag:%221e3b5-5fa9fee2aa98e%22	http://localhost/interlinklogistics.co.uk/wp-content/uploads/2023/05/2022-07-stones-stone-on-a-white-background-263661-modified.png	C:/My%20Web%20Sites/Interlink%20New/localhost/interlinklogistics.co.uk/wp-content/uploads/2023/05/2022-07-stones-stone-on-a-white-background-263661-modified.png	(from http://localhost/interlinklogistics.co.uk/)
12:30:26	53435/53435	U-----	200	untouched ('OK')	text/css	etag:%22d0bb-5fa55205de082%22	http://localhost/interlinklogistics.co.uk/wp-content/plugins/redux-framework/redux-core/assets/css/extendify-utilities.css?ver=4.4.1	C:/My%20Web%20Sites/Interlink%20New/localhost/interlinklogistics.co.uk/wp-content/plugins/redux-framework/redux-core/assets/css/extendify-utilitiesa94e.css	(from http://localhost/interlinklogistics.co.uk/)
12:30:26	4186/4186	U-----	200	untouched ('OK')	text/css	date:Fri,%2007%20Jun%202019%2020:45:02%20GMT	https://c0.wp.com/c/6.2/wp-includes/js/mediaelement/wp-mediaelement.min.css	C:/My%20Web%20Sites/Interlink%20New/c0.wp.com/c/6.2/wp-includes/js/mediaelement/wp-mediaelement.min.css	(from http://localhost/interlinklogistics.co.uk/)
12:30:26	10435/10435	U-----	200	untouched ('OK')	text/css	date:Tue,%2024%20Jan%202023%2022:19:11%20GMT	https://c0.wp.com/p/woocommerce/7.6.1/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css	C:/My%20Web%20Sites/Interlink%20New/c0.wp.com/p/woocommerce/7.6.1/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css	(from http://localhost/interlinklogistics.co.uk/)
12:30:26	260560/260560	U-----	200	untouched ('OK')	text/css	date:Wed,%2029%20Mar%202023%2018:55:14%20GMT	https://c0.wp.com/p/woocommerce/7.6.1/packages/woocommerce-blocks/build/wc-blocks-style.css	C:/My%20Web%20Sites/Interlink%20New/c0.wp.com/p/woocommerce/7.6.1/packages/woocommerce-blocks/build/wc-blocks-style.css	(from http://localhost/interlinklogistics.co.uk/)
12:30:26	16101/16101	U-----	200	untouched ('OK')	text/css	etag:%223ee5-5fa39276f848b%22	http://localhost/interlinklogistics.co.uk/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout-grid.min.css?ver=4.1.3	C:/My%20Web%20Sites/Interlink%20New/localhost/interlinklogistics.co.uk/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout-grid.mina352.css	(from http://localhost/interlinklogistics.co.uk/)
12:30:26	6005/6005	U-----	200	untouched ('OK')	text/css	etag:%221775-5fa39276f848b%22	http://localhost/interlinklogistics.co.uk/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen-grid.min.css?ver=4.1.3	C:/My%20Web%20Sites/Interlink%20New/localhost/interlinklogistics.co.uk/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen-grid.mina352.css	(from http://localhost/interlinklogistics.co.uk/)
12:30:27	12886/12886	U-----	200	untouched ('OK')	text/css	etag:%223256-5fa3920163a7c%22	http://localhost/interlinklogistics.co.uk/wp-content/plugins/coblocks/includes/Dependencies/GoDaddy/Styles/build/latest.css?ver=2.0.2	C:/My%20Web%20Sites/Interlink%20New/localhost/interlinklogistics.co.uk/wp-content/plugins/coblocks/includes/Dependencies/GoDaddy/Styles/build/latest4c56.css	(from http://localhost/interlinklogistics.co.uk/)
12:30:27	83455/83455	U-----	200	untouched ('OK')	text/css	etag:%22145ff-5fa9376563ae1%22	http://localhost/interlinklogistics.co.uk/wp-content/uploads/astra-addon/astra-addon-644ecdf809c9f5-94424445.css?ver=3.9.2	C:/My%20Web%20Sites/Interlink%20New/localhost/interlinklogistics.co.uk/wp-content/uploads/astra-addon/astra-addon-644ecdf809c9f5-944244452e46.css	(from http://localhost/interlinklogistics.co.uk/)
12:30:27	115260/115260	U-----	200	untouched ('OK')	text/css	etag:%221c23c-5fa39276f848b%22	http://localhost/interlinklogistics.co.uk/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-grid.min.css?ver=4.1.3	C:/My%20Web%20Sites/Interlink%20New/localhost/interlinklogistics.co.uk/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-grid.mina352.css	(from http://localhost/interlinklogistics.co.uk/)
12:30:27	19363/19363	U-----	200	untouched ('OK')	text/css	etag:%224ba3-5fa39d02cdd57%22	http://localhost/interlinklogistics.co.uk/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.18.0	C:/My%20Web%20Sites/Interlink%20New/localhost/interlinklogistics.co.uk/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min3b94.css	(from http://localhost/interlinklogistics.co.uk/)
12:30:27	81269/81269	U-----	200	untouched ('OK')	text/css	etag:%2213d75-5fa39d02850c6%22	http://localhost/interlinklogistics.co.uk/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.12.2	C:/My%20Web%20Sites/Interlink%20New/localhost/interlinklogistics.co.uk/wp-content/plugins/elementor/assets/css/frontend-lite.mine56c.css	(from http://localhost/interlinklogistics.co.uk/)
12:30:27	12876/12876	U-----	200	untouched ('OK')	text/css	etag:%22324c-5fa39d02ec745%22	http://localhost/interlinklogistics.co.uk/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/My%20Web%20Sites/Interlink%20New/localhost/interlinklogistics.co.uk/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from http://localhost/interlinklogistics.co.uk/)
12:30:28	1101/1101	U-----	200	untouched ('OK')	text/css	etag:%2244d-5fa3adcf0b3d4%22	http://localhost/interlinklogistics.co.uk/wp-content/uploads/elementor/css/post-218.css?ver=1682505605	C:/My%20Web%20Sites/Interlink%20New/localhost/interlinklogistics.co.uk/wp-content/uploads/elementor/css/post-218447d.css	(from http://localhost/interlinklogistics.co.uk/)
12:30:28	627697/627697	U-----	200	untouched ('OK')	text/css	etag:%22993f1-5eba91a8cf8c0%22	http://localhost/interlinklogistics.co.uk/wp-content/plugins/ultimate-elementor/assets/min-css/uael-frontend.min.css?ver=1.36.12	C:/My%20Web%20Sites/Interlink%20New/localhost/interlinklogistics.co.uk/wp-content/plugins/ultimate-elementor/assets/min-css/uael-frontend.mina144.css	(from http://localhost/interlinklogistics.co.uk/)
12:30:28	41604/41604	U-----	200	untouched ('OK')	text/css	etag:%22a284-5fa399d24b71f%22	http://localhost/interlinklogistics.co.uk/wp-content/plugins/wpforms/assets/css/frontend/classic/wpforms-base.min.css?ver=1.8.1.2	C:/My%20Web%20Sites/Interlink%20New/localhost/interlinklogistics.co.uk/wp-content/plugins/wpforms/assets/css/frontend/classic/wpforms-base.minbbb9.css	(from http://localhost/interlinklogistics.co.uk/)
